hanja,hangul,source
一,일,xetexko-hanja_hangul.tab
右,우,xetexko-hanja_hangul.tab
雨,우,xetexko-hanja_hangul.tab
円,엔,xetexko-hanja_hangul.tab
王,왕,xetexko-hanja_hangul.tab
音,음,xetexko-hanja_hangul.tab
下,하,xetexko-hanja_hangul.tab
火,화,xetexko-hanja_hangul.tab
花,화,xetexko-hanja_hangul.tab
貝,패,xetexko-hanja_hangul.tab
学,학,xetexko-hanja_hangul.tab
気,기,xetexko-hanja_hangul.tab
九,구,xetexko-hanja_hangul.tab
休,휴,xetexko-hanja_hangul.tab
玉,옥,xetexko-hanja_hangul.tab
金,김,xetexko-hanja_hangul.tab
空,공,xetexko-hanja_hangul.tab
月,월,xetexko-hanja_hangul.tab
犬,견,xetexko-hanja_hangul.tab
見,견,xetexko-hanja_hangul.tab
口,구,xetexko-hanja_hangul.tab
校,교,xetexko-hanja_hangul.tab
左,좌,xetexko-hanja_hangul.tab
三,삼,xetexko-hanja_hangul.tab
山,산,xetexko-hanja_hangul.tab
子,자,xetexko-hanja_hangul.tab
四,사,xetexko-hanja_hangul.tab
糸,멱,xetexko-hanja_hangul.tab
字,자,xetexko-hanja_hangul.tab
耳,이,xetexko-hanja_hangul.tab
七,칠,xetexko-hanja_hangul.tab
車,차,xetexko-hanja_hangul.tab
手,수,xetexko-hanja_hangul.tab
十,십,xetexko-hanja_hangul.tab
出,출,xetexko-hanja_hangul.tab
女,여,xetexko-hanja_hangul.tab
小,소,xetexko-hanja_hangul.tab
上,상,xetexko-hanja_hangul.tab
森,삼,xetexko-hanja_hangul.tab
人,인,xetexko-hanja_hangul.tab
水,수,xetexko-hanja_hangul.tab
正,정,xetexko-hanja_hangul.tab
生,생,xetexko-hanja_hangul.tab
青,청,xetexko-hanja_hangul.tab
夕,석,xetexko-hanja_hangul.tab
石,석,xetexko-hanja_hangul.tab
赤,적,xetexko-hanja_hangul.tab
千,천,xetexko-hanja_hangul.tab
川,천,xetexko-hanja_hangul.tab
先,선,xetexko-hanja_hangul.tab
早,조,xetexko-hanja_hangul.tab
草,초,xetexko-hanja_hangul.tab
足,족,xetexko-hanja_hangul.tab
村,촌,xetexko-hanja_hangul.tab
大,대,xetexko-hanja_hangul.tab
男,남,xetexko-hanja_hangul.tab
竹,죽,xetexko-hanja_hangul.tab
中,중,xetexko-hanja_hangul.tab
虫,훼,xetexko-hanja_hangul.tab
町,정,xetexko-hanja_hangul.tab
天,천,xetexko-hanja_hangul.tab
田,전,xetexko-hanja_hangul.tab
土,토,xetexko-hanja_hangul.tab
二,이,xetexko-hanja_hangul.tab
日,일,xetexko-hanja_hangul.tab
入,입,xetexko-hanja_hangul.tab
年,연,xetexko-hanja_hangul.tab
白,백,xetexko-hanja_hangul.tab
八,팔,xetexko-hanja_hangul.tab
百,백,xetexko-hanja_hangul.tab
文,문,xetexko-hanja_hangul.tab
木,목,xetexko-hanja_hangul.tab
本,본,xetexko-hanja_hangul.tab
名,명,xetexko-hanja_hangul.tab
目,목,xetexko-hanja_hangul.tab
立,입,xetexko-hanja_hangul.tab
力,역,xetexko-hanja_hangul.tab
林,임,xetexko-hanja_hangul.tab
六,육,xetexko-hanja_hangul.tab
五,오,xetexko-hanja_hangul.tab
引,인,xetexko-hanja_hangul.tab
羽,우,xetexko-hanja_hangul.tab
雲,운,xetexko-hanja_hangul.tab
園,원,xetexko-hanja_hangul.tab
遠,원,xetexko-hanja_hangul.tab
何,하,xetexko-hanja_hangul.tab
科,과,xetexko-hanja_hangul.tab
夏,하,xetexko-hanja_hangul.tab
家,가,xetexko-hanja_hangul.tab
歌,가,xetexko-hanja_hangul.tab
画,화,xetexko-hanja_hangul.tab
回,회,xetexko-hanja_hangul.tab
会,회,xetexko-hanja_hangul.tab
海,해,xetexko-hanja_hangul.tab
絵,회,xetexko-hanja_hangul.tab
外,외,xetexko-hanja_hangul.tab
角,각,xetexko-hanja_hangul.tab
楽,악,xetexko-hanja_hangul.tab
活,활,xetexko-hanja_hangul.tab
